Dates,EM Index,GOLDROLL,IND1BJB Index,IND1BRX Index,IND1BTY Index,IND1CEE1 Index,IND1CJE1 Index,OILROLL,SGBVRZ1 Index,SGIXBGB Index,SILVERROLL,SPROLL
2019-04-02,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
2019-04-03,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
2019-04-04,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
2019-04-05,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
2019-04-08,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
2019-04-09,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
2019-04-10,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
2019-04-11,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
2019-04-12,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
2019-04-15,0.022299811,0.040882125,0.14866361,0.24006908,0.14866294,0.15458786,0.06504018,0.013008492,0.048315264,-7.2646463e-07,0.012548248,0.10592307
