Dates,SGBVRVG1 Index,SGBVRZ1  Index,SGBVRES1 Index,SGBVRNK1 Index,SGBVRGX1 Index,SGIXTY10 Index,SGIXRX Index,SGIXGILT Index,SGIXJB10 Index,SGICCLSR Index,SGICGCSR Index,SGICSISR Index,NDUEEGF Index
2000-09-15,0.97145589,1.006208963,0.974652148,0.876976649,0.929932822,1.032721409,1.000506051,0.98638904,1.004872763,1.452669184,0.973869403,0.953226649,0.904004773
2000-09-18,0.958700293,0.992966519,0.963976104,0.872092496,0.912059524,1.031592551,0.997504332,0.985500447,1.007886552,1.480481468,0.970722061,0.954756186,0.870407935
2000-09-19,0.956112033,0.990669989,0.971366729,0.873179009,0.917755347,1.032560143,1.000296713,0.987866618,1.010104274,1.45701701,0.972472549,0.956095781,0.864434335
2000-09-20,0.942617484,0.96939016,0.965125617,0.889460207,0.893466212,1.030141162,1.000296713,0.987075945,1.007680494,1.460057646,0.961981411,0.946341232,0.874852711
2000-09-21,0.916366695,0.960051156,0.96545395,0.881860803,0.882401819,1.031751607,1.003797201,0.989542959,1.006269216,1.426598465,0.965479439,0.954566244,0.864344843
2000-09-22,0.924315891,0.95974492,0.964797284,0.856355585,0.889341441,1.034009322,1.006307431,0.993106099,1.010697248,1.384013315,0.971072748,0.962023988,0.841703334
2000-09-25,0.932080028,0.966557835,0.959869503,0.868294855,0.896281368,1.034656593,1.003589684,0.988934975,1.009787033,1.356201031,0.978767232,0.962981198,0.861853979
2000-09-26,0.920988037,0.962118128,0.948043945,0.866666117,0.89359693,1.037243467,1.005397268,0.989725647,1.007262447,1.354029148,0.979114972,0.963935909,0.860138713
2000-09-27,0.923391237,0.969236806,0.950671305,0.852013657,0.897197916,1.036596196,1.002581223,0.990517781,1.009478687,1.354897901,0.994153253,0.971203711,0.859982102
2000-09-28,0.920988037,0.967552746,0.969724368,0.851471431,0.905185109,1.036596196,1.005590223,0.992400194,1.010085003,1.313615881,0.984711228,0.967762252,0.859780744
2000-09-29,0.91821536,0.973217396,0.955106238,0.855271133,0.900078583,1.037568206,1.007399627,1.000637214,1.013014294,1.327089676,0.977718118,0.958007703,0.860601089
2000-10-02,0.928382697,0.977657103,0.956748599,0.861781963,0.909375391,1.037243467,1.006895397,1.000637214,1.014533789,1.37184671,0.975619891,0.95953724,0.849272876
2000-10-03,0.937626023,0.980642309,0.947058249,0.864495153,0.909375391,1.034163961,1.006392987,0.999836312,1.016054767,1.372281086,0.970374321,0.960876835,0.850279663
2000-10-04,0.925979497,0.978192897,0.952807211,0.880234126,0.902631998,1.032871628,1.005386346,0.998936027,1.016257861,1.349685381,0.964778065,0.953801475,0.848885077
2000-10-05,0.932080028,0.985464929,0.956584781,0.872636783,0.908786095,1.035292818,1.004781998,0.998737263,1.017680998,1.324913734,0.965479439,0.956478165,0.853098665
2000-10-06,0.920618561,0.98209681,0.937367203,0.868294855,0.889537975,1.037718426,1.00719393,0.999935694,1.017783286,1.336211586,0.960932297,0.954756186,0.854552912
2000-10-09,0.901022838,0.966174923,0.930633243,0.868294855,0.883121834,1.037718426,1.009209032,1.006934823,1.017783286,1.370917062,0.963728951,0.955138571,0.839421284
2000-10-10,0.908786975,0.964950453,0.913879904,0.859611,0.882532537,1.039339916,1.010217493,1.006430605,1.017172523,1.418292534,0.971423435,0.961451661,0.834954135
2000-10-11,0.881797234,0.944129268,0.905831916,0.83573452,0.867147143,1.040963616,1.011127656,1.008745623,1.017884091,1.429289977,0.964079638,0.952844265,0.814184503
2000-10-12,0.879948569,0.946119563,0.883329615,0.841703124,0.851237965,1.045030596,1.01416032,1.010360582,1.015746421,1.515657857,0.984360542,0.962981198,0.798821687
2000-10-13,0.890486025,0.957448863,0.910266152,0.830850366,0.875592915,1.045030596,1.011016616,1.008945848,1.017676551,1.448118378,0.970374321,0.954948628,0.79193825
2000-10-16,0.893998296,0.969849277,0.914208237,0.843331863,0.874414322,1.043888484,1.010208391,1.008744161,1.017371169,1.382775139,0.96722698,0.954566244,0.799634574
2000-10-17,0.886418576,0.958673332,0.893381758,0.833019269,0.862760937,1.048618199,1.009400166,1.00733089,1.018287314,1.38496732,0.965479439,0.947488385,0.78721754
2000-10-18,0.863680701,0.947650742,0.888783008,0.805885312,0.855624476,1.048618199,1.00970234,1.008942925,1.021240323,1.380582958,0.962679838,0.949017922,0.772332016
2000-10-19,0.904905228,0.959132922,0.920450046,0.804258635,0.869438818,1.049110831,1.010206571,1.00712628,1.021444899,1.355583973,0.961630724,0.943664541,0.782519204
2000-10-20,0.912114829,0.967246511,0.927019491,0.82759289,0.872581226,1.051406102,1.011620964,1.006926054,1.020933459,1.392863232,0.965128752,0.943664541,0.799470505
2000-10-23,0.917475766,0.973523632,0.931126091,0.817824583,0.875003618,1.054691055,1.010306689,1.005818236,1.019402104,1.420488775,0.96058161,0.934864703,0.793728093
2000-10-24,0.939659105,0.992047813,0.921764074,0.822166511,0.899096524,1.052219056,1.010508745,1.005416323,1.018484477,1.398562903,0.960932297,0.937351451,0.801998658
2000-10-25,0.929122292,0.983627515,0.902711011,0.801545446,0.890847286,1.048766209,1.006869912,1.004510193,1.019605198,1.385844193,0.946244703,0.930276091,0.795346409
2000-10-26,0.914148554,0.967552746,0.900904135,0.803714348,0.888228664,1.048602735,1.009489362,1.004309967,1.018789859,1.409527869,0.941700507,0.924347885,0.791900962
2000-10-27,0.925424962,0.981561016,0.920450046,0.794490329,0.912779843,1.045980516,1.009791536,1.001096126,1.01909524,1.360845208,0.939251593,0.927024575,0.79633828
2000-10-30,0.929307351,0.984087105,0.927151242,0.785806473,0.91566051,1.044999669,1.008681137,1.002697931,1.022356597,1.355583973,0.938900906,0.925112653,0.790170781
2000-10-31,0.944835625,0.993578991,0.946237069,0.786892986,0.932813489,1.04254976,1.008983311,1.004100972,1.022254309,1.352953355,0.940651394,0.926259806,0.798135581
2000-11-01,0.948347896,0.992354048,0.94081644,0.809142789,0.930325585,1.044177878,1.011404345,1.003799903,1.019494015,1.366987375,0.937153365,0.929893707,0.810261764
2000-11-02,0.948532955,0.983245076,0.942787831,0.804800861,0.933337274,1.04531999,1.009280024,1.004803954,1.022042321,1.336727155,0.938900906,0.918034794,0.81962115
2000-11-03,0.948162837,0.98332128,0.943609012,0.804800861,0.939294837,1.038951112,1.008775794,1.005506936,1.022042321,1.347688061,0.93960228,0.924155443,0.824073384
2000-11-06,0.943356436,0.985924046,0.950342972,0.836818971,0.939753111,1.036677933,1.008573738,1.005105023,1.023575158,1.352514919,0.938900906,0.928171728,0.825632038
2000-11-07,0.946314172,0.991359137,0.948700611,0.830306079,0.931962452,1.036839199,1.006758872,1.002994616,1.023166006,1.374440791,0.937153365,0.920521542,0.830643598
2000-11-08,0.940583759,0.995415931,0.928498034,0.833019269,0.923713214,1.037811209,1.006256462,1.00279439,1.022347702,1.376028092,0.939596386,0.923963001,0.826795436
